id,name,price,category,description,image_url,created_at
"B 125","A5 NOTEBOOK WITH PHONE STAND,",1280,"Catalog Notebooks","A5 NOTEBOOK WITH PHONE STAND, | CARD POCKET & ELASTIC FASTENER | 4 IN 1 TEXTURED PU NOTEBOOK IN A5 SIZE | COMES WITH SPACIOUS FRONT | POCKET TO HOLD M","assets/catalog/page_1.png","2026-06-22T14:27:11.813Z"
"B 178","ECO",1280,"Catalog Notebooks","ECO | FRIENDLY | PRODUCT | • Premium Bamboo notebook with 192 writing sheets | • Hard bound cover for added protection | • High quality 80gsm paper | ","assets/catalog/page_2.png","2026-06-22T14:27:11.818Z"
"B 204","Pen Loop Notebook",1280,"Catalog Notebooks","Pen Loop Notebook | WITH VERTICAL STITCHING DESIGN | Product Code: B 204 | • A5 size PU notebook with stitching design | • Separate pen loop to keep y","assets/catalog/page_3.png","2026-06-22T14:27:11.818Z"
"B 203","Cork Duomag",1280,"Catalog Notebooks","Cork Duomag | A5 CORK NOTEBOOK | WITH MAGNETIC FLAP CLOSURE | SLANT DESIGN FLAP MADE OF COFFEE CORK MATERIAL | Product Code : B 203 | • Cork Eco frien","assets/catalog/page_4.png","2026-06-22T14:27:11.818Z"
"B 202","FoldBook Stash",1280,"Catalog Notebooks","FoldBook Stash | A5 NOTEBOOK WITH MAGNETIC FLAP CLOSURE | POCKETS & PEN SLOT ON FLAP | CARD AND | DOCUMENT | POCKETS | PEN | SLOT | Product Code : B 2","assets/catalog/page_5.png","2026-06-22T14:27:11.818Z"
"B 201","Fold Book Nook",1280,"Catalog Notebooks","Fold Book Nook | A5 NOTEBOOK WITH MAGNETIC FLAP CLOSURE | PATTERN DESIGN ON FLAP | • A5 Notebook is perfect for organizing | thoughts and ideas | • Fe","assets/catalog/page_6.png","2026-06-22T14:27:11.818Z"
"B 200","FoldBook Prime AS NOTEBOOK",1280,"Catalog Notebooks","FoldBook Prime AS NOTEBOOK | WITH MAGNETIC FLAP CLOSURE | & METAL PLATE | Product Code : B 200 | • 3 fold A5 notebook with metal edge | • Premium Look","assets/catalog/page_7.png","2026-06-22T14:27:11.818Z"
"B 199","FoldBook A5 NOTEBOOK",1280,"Catalog Notebooks","FoldBook A5 NOTEBOOK | Mail | WITH MAGNETIC FLAP CLOSURE | Product Code : B 199 | • A5 Notebook is perfect | for organizing thoughts | and ideas | • F","assets/catalog/page_8.png","2026-06-22T14:27:11.818Z"
"B 191","Floral",1280,"Catalog Notebooks","Floral | PU NOTEBOOK | WITH BOOKMARK RIBBON | Product Code : B 191 | Available in 3 colors: Red, Brown, Blue | 2 | 80 GSM | MATERIAL | Contains total ","assets/catalog/page_9.png","2026-06-22T14:27:11.818Z"
"B 188","• Convenient Bookmark Ribbon",1280,"Catalog Notebooks","• Convenient Bookmark Ribbon | with Metal clip | • Contains total 192 pages with | 80 GSM premium quality paper | • Comes with personal | memorandum, ","assets/catalog/page_10.png","2026-06-22T14:27:11.818Z"
